Prompts	Solution0	Solution1	Label
Eme ọ rẹ via nọ ohwo ọ tẹ ga oma gaga?	nọ ohwo ọ tẹ ga oma gaga, oma riẹ o re ru iruo avọ omaukruga, abọ riẹ ọ rẹ wọ ehwa igbẹgbẹdẹ, ọ vẹ hẹ were ahwo eva, nọ ọ tẹ be re emamọ emu, ogaga na u rhe vihọ jọ oghọghọ u re lelie.	nọ oma o tẹ lọhọ ohwo gaga, oma riẹ o re ru iruo avọ omaukruga, abọ riẹ ọ rẹ wọ ehwa igbẹgbẹdẹ, ọ vẹ hẹ were ahwo eva, nọ ọ tẹ be re emamọ emu, ogaga na u rhe vihọ jọ oghọghọ u re lelie.	0
Eme ọ rẹ via nọ oma ohwo o tẹ ga?	nọ oma ohwo o tẹ ga, ohoma riẹ u re lo, ọ rẹ nya vẹrẹ, jọ ohwo na ọ rẹ re akpo kẹdẹkẹdẹ, nọ a tẹ rehọ ero tei, oma oga na o rẹ tọ, jọ udhedhẹ o vẹ jọ.	nọ oma ohwo o tẹ ga, ohoma riẹ u re lo, ọ rẹ nya vẹrẹ, jọ ohwo na ẹdẹ ọvo ọ rẹ re akpo, nọ a tẹ rehọ ero tei, oma oga na o rẹ tọ, jọ udhedhẹ o vẹ jọ.	0
Eme ọkpa o re ru kohiohiẹ kohiohiẹ evaọ obọ iwhre?	ọkpa na ọ rẹ gadiẹ eru idhe o ve bo gaga, ọ rẹ rọwo ahwo iwhre na nọ owezẹ, ọ vẹ hẹ nya ighẹ na wariẹ họ, nọ u te no ọhena no, ọvẹ hẹ guọlọ emu yọ ọbe fọhọ otọ na, orọurere, o ve e lele ekpa efa họrọ fiki oria.	The hen climbs to the roof and crows loudly. It wakes up the villagers from sleep. Then it walks around the compound. After that, it looks for food and scratches the ground. Finally, it fights other cocks for space. ovu na ọ rẹ gadiẹ eru idhe o ve bo gaga, ọ rẹ rọwo ahwo iwhre na nọ owezẹ, ọ vẹ hẹ nya ighẹ na wariẹ họ, nọ u te no ọhena no, ọvẹ hẹ guọlọ emu yọ ọbe fọhọ otọ na, orọurere, o ve e lele ekpa efa họrọ fiki oria.	0
Nọ ohọ u te bi kpe ẹwe, ẹvẹ uruemu riẹ o rẹ jọ?	ẹwe na o re bo gaga evaọ akotọ uwou na, ọ rẹ dhẹ kpohọ ẹthẹ na nọ ọbe guọlọ emu, uve duhu uzou ruẹ họ evaọ ekete na, nọ u te no ọhena no, ọ vẹ hẹ re evoriẹ elẹ avọ oghọghọ, orọurere, o ve serihọ evaọ otọ uhre na.	ẹwe na o re bo ẹrera evaọ akotọ uwou na, ọ rẹ dhẹ kpohọ ẹthẹ na nọ ọbe guọlọ emu, uve duhu uzou ruẹ họ evaọ ekete na, nọ u te no ọhena no, ọ vẹ hẹ re evoriẹ elẹ avọ oghọghọ, orọurere, o ve serihọ evaọ otọ uhre na.	0
Nọ ovu o te fi ike họ no, eme o re ru?	Ovu na o re si ike riẹ no fihọ akotọ, ọve keria ae ẹrera re e roro, ọ vẹ họ gbọ gaga re o le erara no, nọ u te no ọhena no, ọ vẹ nya vrẹ umuthoke re ọ e guọlọ emuore, orọurere, o ve zihieze vẹrẹ re ruru ike riẹ.	Ovu na o re si unwe riẹ no fihọ akotọ, ọve keria ae ẹrera re e roro, ọ vẹ họ gbọ gaga re o le erara no, nọ u te no ọhena no, ọ vẹ nya vrẹ umuthoke re ọ e guọlọ emuore, orọurere, o ve zihieze vẹrẹ re ruru ike riẹ.	0
ẹvẹ imẹlu I re ru evaọ ẹwọ?	imẹrẹlu na a rẹ nye ebe na vrẹ ẹrera, a ve ruwẹ totọ re a re ebe ekpokpo, a vẹ da ame evaọ ethẹ, nọ u te no ọhena no, a ve kiẹzẹ serihọ, orọurere, a vẹ tehe usu họ zihie kpohọ obọ iwhre na.	imẹrhumela na a rẹ nye ebe na vrẹ ẹrera, a ve ruwẹ totọ re a re ebe eyaya, a vẹ da ame evaọ ethẹ, nọ u te no ọhena no, a ve kiẹzẹ serihọ, orọurere, a vẹ tehe usu họ zihie kpohọ obọ iwhre na.	0
ẹvẹ erakọ I re ru nọ ọrara ọ tẹ nyaze?	Erakọ na a rẹ dhẹ kpohọ obọ ẹthẹ na ovẹrẹ, a vẹ gbọ gaga re orua na o vẹ riẹ, a ve dikihiẹ gaga bi dhesẹ akọ rai, nọ u te no ọhena no, a vẹhẹ dhẹ wariẹ ọrara na họ. orọurere, a ve dikihiẹ bẹsenọ ọnowo rai ọ rẹ nyatha.	Erakọ na a rẹ dhẹ kpohọ obọ ẹthẹ na ovẹrẹ, a vẹ gbọ gaga re orua na o vẹ riẹ, a ve dikihiẹ gaga bi dhesẹ akọ rai, nọ u te no ọhena no, a vẹhẹ dhẹ wariẹ ọrara na họ. orọurere, a ve dikihiẹ bẹsenọ ọwegrẹ rai ọ rẹ nyatha.	0
Eme igodẹ I re ru nọ a tẹ ruẹ oriri rai?	igodẹ na a re kokohọ oriọvo vẹrẹ, avehe lele oriri na nọ ọ tẹ be nyavrẹ, nọ ọ tẹ viọlọ oviọlọ a vẹ gaviezọ, nọ u te no ọhena no, a vẹhẹ re ebe nọ o bi su ae na, orọurere, a ve kiẹzẹ fihọ ebe na dhedhẹ.	igodẹ na a re kuoma rai dhere, avehe lele oriri na nọ ọ tẹ be nyavrẹ, nọ ọ tẹ viọlọ oviọlọ a vẹ gaviezọ, nọ u te no ọhena no, a vẹhẹ re ebe nọ o bi su ae na, orọurere, a ve kiẹzẹ fihọ ebe na dhedhẹ.	0
Eme ibusu a re ru evaọ owọwọ?	Ibusu na a rẹ gadiẹ ogba na vẹrẹ, a vẹ hẹ guọlọ edhokpa ẹrera, nọ a tẹ ruẹ ọvo a ve lei vẹrẹ, nọ u te no ọhena no, a vẹ rehọ ọnọ a mu zaro, orọurere, a ve serihọ evaọ akotọ era na.	Ighogho na a rẹ gadiẹ ogba na vẹrẹ, a vẹ hẹ guọlọ edhokpa ẹrera, nọ a tẹ ruẹ ọvo a ve lei vẹrẹ, nọ u te no ọhena no, a vẹ rehọ ọnọ a mu zaro, orọurere, a ve serihọ evaọ akotọ era na.	0
Nọ ẹnyenya ọ tẹ re gaga eme o re ruẹ?	ẹnyenya na, ọ rẹ dhẹ ẹbe na vrẹ, ọ rẹ rehọ ekothuawọ riẹ whẹ ovu, ọ vẹ họ rehọ ubo ogaga ro dhesẹ ẹgba riẹ, nọ u te no ọhena no, o ve he vo egba esese vrẹ, orọurere, o ve ruwẹ da ame evaọ ethẹ.	ẹnyenya na, ọ rẹ dhẹ ẹbe na vrẹ, ọ rẹ rehọ ekothuawọ riẹ whẹ ovu, ọ vẹ họ rehọ ubo ogaga ro dhesẹ ẹgba riẹ, nọ u te no ọhena no, ọ vẹ keria eru egba esese vrẹ, orọurere, o ve ruwẹ da ame evaọ ethẹ.	0
ẹvẹ edọgumọ o re ru evaọ akotọ ame?	edọgumọ a rẹ tehe usu họ kpohọ obọ ethẹ, a vẹ hẹ haọ ẹrera evaọ eru ame na, a ve dhe uzou rai họ otọ ame na, nọ u te no ọhena no, a vẹ kparoma jẹ tehe ibekpe rai, orọurere, a ve serihọ evaọ unueri na.	edọgumọ a rẹ tehe usu họ kpohọ obọ ethẹ, a vẹ hẹ haọ ẹrera evaọ eru ame na, a ve dhe uzou rai họ otọ ame na, nọ u te no ọhena no, a vẹ kparoma jẹ tehe ibekpe rai, orọurere, a ve serihọ evaọ ugberu na.	0
Eme emewa I re ru nọ a tẹ ruẹ ishuga?	Emewa na a rẹ wariẹ ishuga na họ ovovẹrẹ, a vẹ hẹ wọ ibi esese kpohọ ughogho rai, a vẹ tehe usu uthethe họ, nọ u te no ọhena no, a ve ku emu n adhere otọ. orọurere, a ve zihiẹ kẹ efa.	Emewa na a rẹ wariẹ ewhọ na họ ovovẹrẹ, a vẹ hẹ wọ ibi esese kpohọ ughogho rai, a vẹ tehe usu uthethe họ, nọ u te no ọhena no, a ve ku emu n adhere otọ. orọurere, a ve zihiẹ kẹ efa.	0
 ẹvẹ who ro se owho	 Who re se inọmba na whọ vẹ nyẹ ubi ese	 Who re se inọmba na whọ vẹ nyẹ ubi obrudhe	0
Eme whọ rọ kiẹ intanẹte	 Who re wo edata avọ enọtwọko	Who re wo edata avọ ẹgha	0
 ẹvẹ whọ rọ sẹro efaile	Whọ rẹ nyẹ ubi esẹro na	Whọ rẹ nyẹ ubi efurie na	1
Eme whọ rẹ rehọ epaswọdo ru	Who re kue dhere orobọ	Who re fie họ ughe	0
ẹvẹ whọ rọ rehọ uwoho	Whọ rẹ nyẹ ubi uwoho nọ o rọ otaẹme na	Whọ rẹ nyẹ ubi okele nọ o rọ otaẹme na	0
Eme ikibọdọ o re fiobọhọ kẹ owhẹ ru	o re fiobọhọ kẹ owhẹ kere ibieme gbọ inọmba	o re fiobọhọ kẹ owhẹ kere ibieme gbọ erao	0
ẹvẹ whọ re ro e apo	Whọ rẹ nyẹ oka nọ o rọ uskrini na	Whọ rẹ nyẹ oka nọ o rọ otọ na	0
eme ọrẹ via nọ who te momo ugho	Orọ ogbahọ nọ whọ rẹ wai zihie	Orọ ogbahọ nọ whọ rẹ rahiẹ zihie	0
Eme whọ rọ dẹ eware	Whọ rẹ rehọ ugho rọ dẹ eware	Whọ rẹ rehọ utho rọ dẹ eware	0
Eme họ omaoma	kohe họ oma opa nọ whọ rọ re igho ra	kohe họ oma opa nọ whọ rọ re emu ra	0
Fikieme who ro fi ugho ra họ oko	Re ugho na u vihọ kẹ obaroakpọ	Re ugho na u vihọ kẹ okenovrẹ	0
Eme ọrẹvia nọ whọ tẹ re ugho ra avọ areghẹ	Who re wo oware nọ who re kokohọ ẹsikpobi	Who re wo oware ovo nọ who re kokohọ họ	0
Eme awho a rẹ dẹ	A rẹ dẹ ekwakwa	A rẹ dẹ iguẹgu	0
Eme họ osa	Osa yọ oware nọ a rẹ wha kẹ iruo	Osa yọ oware nọ a rẹ wha kẹ iruo ho	1
